manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded
,,https://iiif.irht.cnrs.fr/iiif/Belgique/Tournai/Bibliotheque+AF8-du+AF8-Seminaire/TOURNAI+AF8-Grand+AF8-Seminaire+AF8-MS016/DEPOT/TOURNAI+AF8-Grand+AF8-Seminaire+AF8-MS016+AF8-0021/full/full/0/default.jpg,HORAE+AC0-LSv2/img/Belgique+AF8-Tournai+AF8-Biblioth+AOg-que+AF8-du+AF8-S+AOk-minaire+AF8-016+AF8-f+AF8-014v+AC0-015.jpg,,5436,4080,,Belgique+AF8-Tournai+AF8-Biblioth+AOg-que+AF8-du+AF8-S+AOk-minaire+AF8-016+AF8-f+AF8-014v+AC0-015.jpg,5436,4080
,,https://iiif.irht.cnrs.fr/iiif/Belgique/Tournai/Bibliotheque+AF8-du+AF8-Seminaire/TOURNAI+AF8-Grand+AF8-Seminaire+AF8-MS016/DEPOT/TOURNAI+AF8-Grand+AF8-Seminaire+AF8-MS016+AF8-0022/full/full/0/default.jpg,HORAE+AC0-LSv2/img/Belgique+AF8-Tournai+AF8-Biblioth+AOg-que+AF8-du+AF8-S+AOk-minaire+AF8-016+AF8-f+AF8-015v+AC0-016.jpg,,5436,4080,,Belgique+AF8-Tournai+AF8-Biblioth+AOg-que+AF8-du+AF8-S+AOk-minaire+AF8-016+AF8-f+AF8-015v+AC0-016.jpg,5436,4080
,,https://iiif.irht.cnrs.fr/iiif/Belgique/Tournai/Bibliotheque+AF8-du+AF8-Seminaire/TOURNAI+AF8-Grand+AF8-Seminaire+AF8-MS016/DEPOT/TOURNAI+AF8-Grand+AF8-Seminaire+AF8-MS016+AF8-0081/full/full/0/default.jpg,HORAE+AC0-LSv2/img/Belgique+AF8-Tournai+AF8-Biblioth+AOg-que+AF8-du+AF8-S+AOk-minaire+AF8-016+AF8-f+AF8-074v+AC0-075.jpg,,5436,4080,,Belgique+AF8-Tournai+AF8-Biblioth+AOg-que+AF8-du+AF8-S+AOk-minaire+AF8-016+AF8-f+AF8-074v+AC0-075.jpg,5436,4080
,,https://iiif.library.ubc.ca/image/cdm.manuscripts.1+AC0-0224790.0209/full/full/0/default.jpg,HORAE+AC0-LSv2/img/Canada+AF8-Vancouver+AF8-University+AF8-of+AF8-British+AF8-Columbia+AF8-Library+AF8-BX2080+AF8-A2+AF8-1430+AF8-BX2080+AF8-A2+AF8-1430+AF8-Page+AF8-0211+AF8-L.jpg,,3414,4597,,Canada+AF8-Vancouver+AF8-University+AF8-of+AF8-British+AF8-Columbia+AF8-Library+AF8-BX2080+AF8-A2+AF8-1430+AF8-BX2080+AF8-A2+AF8-1430+AF8-Page+AF8-0211+AF8-L.jpg,3414,4597
,,https://stacks.stanford.edu/image/iiif/cq459jb8197+ACU-2FW41+AF8-000561+AF8-300/full/full/0/default.jpg,HORAE+AC0-LSv2/img/+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0041+AF8-fol+AF8-278r.jpg,,944,1540,,+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0041+AF8-fol+AF8-278r.jpg,944,1540
,,https://stacks.stanford.edu/image/iiif/fc287hx5962+ACU-2FW88+AF8-000404+AF8-600/full/full/0/default.jpg,HORAE+AC0-LSv2/img/+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0088+AF8-404.jpg,,1024,1584,,+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0088+AF8-404.jpg,1024,1584
,,https://stacks.stanford.edu/image/iiif/xq443wf4818+ACU-2FW102+AF8-000171+AF8-300/full/full/0/default.jpg,HORAE+AC0-LSv2/img/+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0102+AF8-fol+AF8-84r.jpg,,2241,3368,,+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0102+AF8-fol+AF8-84r.jpg,2241,3368
,,https://stacks.stanford.edu/image/iiif/qm670kv1873+ACU-2FW168+AF8-000206+AF8-300/full/full/0/default.jpg,HORAE+AC0-LSv2/img/+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0168+AF8-fol+AF8-102v.jpg,,1335,2049,,+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0168+AF8-fol+AF8-102v.jpg,1335,2049
,,https://stacks.stanford.edu/image/iiif/qm670kv1873+ACU-2FW168+AF8-000218+AF8-300/full/full/0/default.jpg,HORAE+AC0-LSv2/img/+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0168+AF8-fol+AF8-108v.jpg,,1346,2068,,+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0168+AF8-fol+AF8-108v.jpg,1346,2068
,,https://stacks.stanford.edu/image/iiif/qm670kv1873+ACU-2FW168+AF8-000033+AF8-300/full/full/0/default.jpg,HORAE+AC0-LSv2/img/+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0168+AF8-fol+AF8-16r.jpg,,1419,2106,,+AMk-tats+AC0-Unis+AF8-Baltimore+AF8-The+AF8-Walters+AF8-Art+AF8-Museum+AF8-W0168+AF8-fol+AF8-16r.jpg,1419,2106
